time;ay (m/s^2)
7045441;0.0012
7054699;0.0295
7062365;0.0011
7069271;-0.0075
7078026;-0.0210
7086336;0.0131
7094242;0.0299
7103432;0.0460
7109898;0.0373
7122307;0.0399
7125701;0.0536
7133346;0.0476
714175;0.0366
7149142;0.0302
7158125;0.0503
7165788;0.0516
7173978;0.0534
7181426;0.0532
718977;0.0391
7196951;0.0254
7205795;-0.0047
7213242;-0.0298
7221421;-0.0192
7229628;-0.0231
7237404;-0.0083
7244949;0.0349
7253325;0.0490
7261674;0.0341
7269835;0.0527
7277868;0.0542
7286118;0.0704
7292756;0.0915
7302924;0.0963
731018;0.0895
7322652;0.0852
7325589;0.0501
733634;0.0342
7341134;0.0113
7349653;0.0146
735814;-0.0109
7365605;0.0231
7373817;0.0568
7381522;0.0474
7389034;0.0643
7397851;0.0740
7405666;0.1051
7413826;0.0957
742158;0.1127
7429502;0.1060
7436954;0.0801
7445632;0.0873
745334;0.0560
7461253;0.0364
7470195;0.0234
7477879;0.0365
7488072;-0.0151
7493932;-0.0329
7503794;-0.0697
7509679;-0.1040
752331;-0.1026
752549;-0.1012
7533125;-0.0713
7541726;-0.0077
7549857;0.0325
7558435;0.0880
7565778;0.1258
757443;0.1575
7580747;0.1631
7589809;0.1994
759788;0.2012
7605572;0.1974
7613778;0.1879
7621455;0.1850
7629258;0.1528
7637532;0.1250
7645807;0.0946
7653727;0.0422
7661435;0.0399
7670163;0.0014
7676838;-0.0278
7687604;-0.0162
7693523;-0.0261
7706587;0.0000
7709576;-0.0190
7720375;-0.0092
7725771;-0.0112
7733328;0.0008
7741798;0.0128
7749805;0.0224
7758544;0.0324
7765673;0.0740
7773624;0.0753
7781676;0.0724
7789518;0.0868
7797524;0.0799
7806603;0.0634
7813961;0.0635
7820794;0.0851
7829711;0.0968
7837343;0.0991
7845342;0.0775
7853968;0.0680
7862049;0.0346
7870699;0.0323
7877953;0.0158
7886946;0.0136
7893763;0.0230
7903829;0.0347
7909425;0.0537
7917046;0.0655
7925735;0.0320
7933497;0.0486
7941872;0.0289
7949242;0.0473
7958889;0.0269
7964823;0.0421
7973366;0.0476
7981562;0.0483
7989357;0.0228
7997518;0.0548
8005675;0.0775
8012926;0.0575
8021543;0.0618
8029322;0.0714
8037335;0.0674
8045565;0.0878
8054504;0.0557
8061398;0.0501
8070422;0.0585
8077662;0.0308
